UID;Nombre-mLitre;Average-flow-ml/s;Average-flow-L/min;Time
0;10;10;0,6;1;
1;21;11;0,66;2
2;33;12;0,72;3
3;44;11;0,66;4
4;55;11;0,66;5
5;65;10;0,6;6
6;76;11;0,66;7
7;87;11;0,66;8
8;97;10;0,6;9
9;107;10;0,6;10
10;117;10;0,6;11
11;127;10;0,6;12
12;137;10;0,6;13
13;146;9;0,54;14
14;156;10;0,6;15
15;165;9;0,54;16
16;174;9;0,54;17
17;184;10;0,6;18
18;193;9;0,54;19
19;202;9;0,54;20
20;211;9;0,54;21
21;220;9;0,54;22
22;229;9;0,54;23
23;238;9;0,54;24
24;247;9;0,54;25
25;257;10;0,6;26
26;266;9;0,54;27
27;275;9;0,54;28
28;284;9;0,54;29
29;293;9;0,54;30
30;302;9;0,54;31
31;311;9;0,54;32
32;320;9;0,54;33
33;329;9;0,54;34
34;338;9;0,54;35
35;347;9;0,54;36
36;356;9;0,54;37
37;365;9;0,54;38
38;374;9;0,54;39
39;383;9;0,54;40
40;392;9;0,54;41
41;401;9;0,54;42
42;410;9;0,54;43
43;419;9;0,54;44
44;428;9;0,54;45
45;436;8;0,48;46
46;445;9;0,54;47
47;454;9;0,54;48
48;463;9;0,54;49
49;472;9;0,54;50
50;481;9;0,54;51
51;490;9;0,54;52
52;499;9;0,54;53
53;508;9;0,54;54
54;517;9;0,54;55
55;526;9;0,54;56
56;535;9;0,54;57
57;544;9;0,54;58
58;553;9;0,54;59
59;561;8;0,48;60
60;570;9;0,54;61
61;579;9;0,54;62
62;588;9;0,54;63
63;597;9;0,54;64
64;606;9;0,54;65
65;615;9;0,54;66
66;624;9;0,54;67
67;633;9;0,54;68
68;642;9;0,54;69
69;651;9;0,54;70
70;660;9;0,54;71
71;668;8;0,48;72
72;677;9;0,54;73
73;686;9;0,54;74
74;695;9;0,54;75
75;704;9;0,54;76
76;713;9;0,54;77
77;722;9;0,54;78
78;731;9;0,54;79
79;740;9;0,54;80
80;749;9;0,54;81
81;758;9;0,54;82
82;767;9;0,54;83
83;776;9;0,54;84
84;785;9;0,54;85
85;793;8;0,48;86
86;802;9;0,54;87
87;811;9;0,54;88
88;820;9;0,54;89
89;829;9;0,54;90
90;838;9;0,54;91
91;847;9;0,54;92
92;856;9;0,54;93
93;865;9;0,54;94
94;874;9;0,54;95
95;883;9;0,54;96
96;892;9;0,54;97
97;901;9;0,54;98
98;910;9;0,54;99
99;919;9;0,54;100
100;928;9;0,54;101
101;937;9;0,54;102
102;946;9;0,54;103
103;955;9;0,54;104
104;964;9;0,54;105
105;973;9;0,54;106
106;982;9;0,54;107
107;991;9;0,54;108
